Show_Name,Date_Close,Date_Open,Year,Days Open,Prod_Type,Show_Type,Theatre,,,,
On The Town,9/6/2015,10/16/2014,2014,325,Original Production,Musical,Lyric Theatre,,,,
It's Only a Play,6/7/2015,10/9/2014,2014,241,Revival,Play,Gerald Schoenfeld Theatre,,,,
The Curious Incident of the Dog in the Night-Time,9/4/2016,10/5/2014,2014,700,Original Production,Play,Ethel Barrymore Theatre,,,,
The Country House,11/23/2014,10/2/2014,2014,52,Original Production,Play,Samuel J. Friedman Theatre,,,,
You Can't Take It with You,2/22/2015,9/28/2014,2014,147,Original Production,Play,Longacre Theatre,,,,
Love Letters,12/14/2014,9/18/2014,2014,87,,Play,Brooks Atkinson Theatre,,,,
This is Our Youth,1/4/2015,9/11/2014,2014,115,Revival,Play,Cort Theatre,,,,
Holler If Ya Hear Me,7/20/2014,6/19/2014,2014,31,Original Production,Musical,Palace Theatre,,,,
Cabaret,3/29/2015,4/24/2014,2014,339,Premiere,Musical,Studio 54,,,,
Casa Valentina,6/29/2014,4/23/2014,2014,67,Revival,Play,Samuel J. Friedman Theatre,,,,
Hedwig and the Angry Inch,9/13/2015,4/22/2014,2014,509,Revival,Musical,Belasco Theatre,,,,
The Velocity of Autumn,5/4/2014,4/21/2014,2014,13,Original Production,Play,Booth Theatre,,,,
Violet,8/10/2014,4/20/2014,2014,112,,Musical,American Airlines Theatre,,,,
The Cripple of Inishmaan,7/20/2014,4/20/2014,2014,91,Premiere,Play,Cort Theatre,,,,
Act One,6/15/2014,4/17/2014,2014,59,Original Production,Play,Vivian Beaumont Theatre,,,,
Of Mice and Men,7/27/2014,4/16/2014,2014,102,Premiere,Play,Longacre Theatre,,,,
Lady Day at Emerson's Bar & Grill,10/5/2014,4/13/2014,2014,175,Original Production,Play,Circle in the Square,,,,
Bullets Over Broadway: The Musical,8/24/2014,4/10/2014,2014,136,Revival,Musical,St. James Theatre,,,,
The Realistic Joneses,7/6/2014,4/6/2014,2014,91,Original Production,Play,Lyceum Theatre,,,,
A Raisin in the Sun,6/15/2014,4/3/2014,2014,73,Revival,Play,Ethel Barrymore Theatre,,,,
If/Then,3/22/2015,3/30/2014,2014,357,Original Production,Musical,Richard Rodgers Theatre,,,,
Mothers and Sons,6/22/2014,3/24/2014,2014,90,Original Production,Play,John Golden Theatre,,,,
Les Miserables,9/4/2016,3/23/2014,2014,896,Revival,Musical,Imperial Theatre,,,,
Aladdin,,3/20/2014,2014,,Original Production,Musical,New Amsterdam Theatre,,,,
