,Week,Year,Gross,Gross_Diff,Pot_Gross,Potential_Gross_Percent,Average_Paid_Ticket,Top_Ticket,Seats_Sold,Total_Seats,Performances,Capacity,Capacity_Diff,Show_Name,,,,
29,6/4/2000,2000,"$178,461 ","($39,883)","$280,382 ",63.65%,$44.25 ,$65.00 ,4033,6120,8,65.90%,-9.90%,Dame Ednathe Royal Tour,2000,,,
30,6/11/2000,2000,"$240,537 ","$62,076 ","$280,382 ",85.79%,$47.33 ,$65.00 ,5082,6120,8,83.00%,17.10%,Dame Ednathe Royal Tour,2000,,,
31,6/18/2000,2000,"$267,454 ","$26,917 ","$280,382 ",95.39%,$49.25 ,$65.00 ,5431,6120,8,88.70%,5.70%,Dame Ednathe Royal Tour,2000,,,
32,6/25/2000,2000,"$295,164 ","$27,710 ","$280,382 ",105.27%,$50.41 ,$65.00 ,5855,6120,8,95.70%,7.00%,Dame Ednathe Royal Tour,2000,,,
33,7/2/2000,2000,"$338,447 ","$43,283 ","$280,382 ",120.71%,$57.30 ,$65.00 ,5907,6120,8,96.50%,0.80%,Dame Ednathe Royal Tour,2000,,,
7,1/3/2016,2016,"$211,207 ","$87,482 ","$694,843 ",30.40%,$51.91 ,$250.00 ,4069,5247,9,77.50%,20.00%,Dames At Sea,2016,,,
7,1/1/1995,1995,"$592,839 ","$321,575 ",$0 ,,$0.00 ,$0.00 ,11593,0,8,0.00%,0.00%,Damn Yankees,1995,,,
8,3/5/1995,1995,"$324,619 ","($268,220)",$0 ,,$0.00 ,$0.00 ,9295,0,8,0.00%,0.00%,Damn Yankees,1995,,,
9,3/12/1995,1995,"$308,898 ","($15,721)",$0 ,,$0.00 ,$0.00 ,9005,0,8,0.00%,0.00%,Damn Yankees,1995,,,
10,3/19/1995,1995,"$403,051 ","$94,153 ",$0 ,,$0.00 ,$0.00 ,9804,0,8,0.00%,0.00%,Damn Yankees,1995,,,
11,3/26/1995,1995,"$452,453 ","$49,402 ",$0 ,,$0.00 ,$0.00 ,10666,0,8,0.00%,0.00%,Damn Yankees,1995,,,
12,4/2/1995,1995,"$411,334 ","($41,119)",$0 ,,$0.00 ,$0.00 ,8748,0,8,0.00%,0.00%,Damn Yankees,1995,,,
13,4/9/1995,1995,"$397,793 ","($13,541)",$0 ,,$0.00 ,$0.00 ,9519,0,8,0.00%,0.00%,Damn Yankees,1995,,,
14,4/16/1995,1995,"$425,792 ","$27,999 ",$0 ,,$0.00 ,$0.00 ,10076,0,8,0.00%,0.00%,Damn Yankees,1995,,,
15,4/23/1995,1995,"$574,803 ","$149,011 ",$0 ,,$0.00 ,$0.00 ,12007,0,8,0.00%,0.00%,Damn Yankees,1995,,,
16,4/30/1995,1995,"$420,149 ","($154,654)",$0 ,,$0.00 ,$0.00 ,9151,0,8,0.00%,0.00%,Damn Yankees,1995,,,
17,5/7/1995,1995,"$370,611 ","($49,538)",$0 ,,$0.00 ,$0.00 ,8113,0,8,0.00%,0.00%,Damn Yankees,1995,,,
18,5/14/1995,1995,"$383,941 ","$13,330 ",$0 ,,$0.00 ,$0.00 ,8442,0,8,0.00%,0.00%,Damn Yankees,1995,,,
19,5/21/1995,1995,"$486,895 ","$102,954 ",$0 ,,$0.00 ,$0.00 ,10837,0,8,0.00%,0.00%,Damn Yankees,1995,,,
20,5/28/1995,1995,"$406,726 ","($80,169)",$0 ,,$0.00 ,$0.00 ,10704,0,8,0.00%,0.00%,Damn Yankees,1995,,,
21,6/4/1995,1995,"$342,641 ","($64,085)",$0 ,,$0.00 ,$67.50 ,8510,0,8,0.00%,0.00%,Damn Yankees,1995,,,
22,6/11/1995,1995,"$380,714 ","$38,073 ",$0 ,,$0.00 ,$67.50 ,9343,0,8,0.00%,0.00%,Damn Yankees,1995,,,
23,6/18/1995,1995,"$402,493 ","$21,779 ",$0 ,,$0.00 ,$67.50 ,9639,0,8,0.00%,0.00%,Damn Yankees,1995,,,
24,6/25/1995,1995,"$466,668 ","$64,175 ",$0 ,,$0.00 ,$67.50 ,10777,0,8,0.00%,0.00%,Damn Yankees,1995,,,
25,7/2/1995,1995,"$407,629 ","($59,039)",$0 ,,$0.00 ,$67.50 ,10037,0,8,0.00%,0.00%,Damn Yankees,1995,,,
26,7/9/1995,1995,"$357,681 ","($49,948)",$0 ,,$0.00 ,$67.50 ,9702,0,8,0.00%,0.00%,Damn Yankees,1995,,,
27,7/16/1995,1995,"$395,687 ","$38,006 ",$0 ,,$0.00 ,$67.50 ,10135,0,8,0.00%,0.00%,Damn Yankees,1995,,,
28,7/23/1995,1995,"$418,136 ","$22,449 ",$0 ,,$0.00 ,$67.50 ,11446,0,8,0.00%,0.00%,Damn Yankees,1995,,,
29,7/30/1995,1995,"$417,775 ",($361),$0 ,,$0.00 ,$67.50 ,11526,0,8,0.00%,0.00%,Damn Yankees,1995,,,
30,8/6/1995,1995,"$455,298 ","$37,523 ",$0 ,,$0.00 ,$67.50 ,11981,0,8,0.00%,0.00%,Damn Yankees,1995,,,
7,1/6/2002,2002,"$239,580 ","($87,204)","$586,302 ",40.86%,$45.96 ,$71.25 ,5213,9456,8,55.10%,-27.30%,Dance Of Death,2002,,,
8,1/13/2002,2002,"$323,218 ","$83,638 ","$652,144 ",49.56%,$47.74 ,$71.25 ,6771,9456,8,71.60%,16.50%,Dance Of Death,2002,,,
7,1/5/2003,2003,"$476,979 ","($292,289)",$0 ,,$58.97 ,$240.00 ,8088,11739,7,68.90%,-7.70%,Dance Of The Vampires,2003,,,
8,1/12/2003,2003,"$459,784 ","($17,195)","$1,015,674 ",45.27%,$58.02 ,$240.00 ,7925,13416,8,59.10%,-9.80%,Dance Of The Vampires,2003,,,
9,1/19/2003,2003,"$466,619 ","$6,835 ","$1,015,674 ",45.94%,$60.44 ,$240.00 ,7721,13416,8,57.60%,-1.50%,Dance Of The Vampires,2003,,,
10,1/26/2003,2003,"$479,408 ","$12,789 ","$1,015,674 ",47.20%,$45.07 ,$240.00 ,10638,13416,8,79.30%,21.70%,Dance Of The Vampires,2003,,,
7,1/5/1992,1992,"$286,555 ","$9,732 ",$0 ,,$0.00 ,$0.00 ,7923,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
8,1/12/1992,1992,"$269,214 ","($17,341)",$0 ,,$0.00 ,$0.00 ,7847,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
9,1/19/1992,1992,"$255,047 ","($14,167)",$0 ,,$0.00 ,$0.00 ,7570,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
10,1/26/1992,1992,"$252,155 ","($2,892)",$0 ,,$0.00 ,$0.00 ,7326,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
11,2/2/1992,1992,"$261,653 ","$9,498 ",$0 ,,$0.00 ,$0.00 ,7749,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
12,2/9/1992,1992,"$248,175 ","($13,478)",$0 ,,$0.00 ,$0.00 ,7285,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
13,2/16/1992,1992,"$271,419 ","$23,244 ",$0 ,,$0.00 ,$0.00 ,7770,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
14,2/23/1992,1992,"$301,870 ","$30,451 ",$0 ,,$0.00 ,$0.00 ,8233,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
15,3/1/1992,1992,"$317,882 ","$16,012 ",$0 ,,$0.00 ,$0.00 ,8236,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
16,3/8/1992,1992,"$165,285 ","($152,597)",$0 ,,$0.00 ,$0.00 ,5081,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
17,3/15/1992,1992,"$143,091 ","($22,194)",$0 ,,$0.00 ,$0.00 ,4480,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
18,3/22/1992,1992,"$152,122 ","$9,031 ",$0 ,,$0.00 ,$0.00 ,5184,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
19,3/29/1992,1992,"$145,301 ","($6,821)",$0 ,,$0.00 ,$0.00 ,4664,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
20,4/5/1992,1992,"$111,088 ","($34,213)",$0 ,,$0.00 ,$0.00 ,3678,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
21,4/12/1992,1992,"$125,474 ","$14,386 ",$0 ,,$0.00 ,$0.00 ,4119,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
22,4/19/1992,1992,"$105,719 ","($19,755)",$0 ,,$0.00 ,$0.00 ,3580,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
23,4/26/1992,1992,"$122,083 ","$16,364 ",$0 ,,$0.00 ,$0.00 ,4071,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
24,5/3/1992,1992,"$97,713 ","($24,370)",$0 ,,$0.00 ,$0.00 ,3140,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
25,5/10/1992,1992,"$123,958 ","$26,245 ",$0 ,,$0.00 ,$0.00 ,4048,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
26,5/17/1992,1992,"$142,998 ","$19,040 ",$0 ,,$0.00 ,$0.00 ,4866,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
27,5/24/1992,1992,"$126,695 ","($16,303)",$0 ,,$0.00 ,$0.00 ,4402,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
28,5/31/1992,1992,"$114,856 ","($11,839)",$0 ,,$0.00 ,$0.00 ,3976,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
29,6/7/1992,1992,"$159,817 ","$44,961 ",$0 ,,$0.00 ,$0.00 ,5461,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
30,6/14/1992,1992,"$176,949 ","$17,132 ",$0 ,,$0.00 ,$0.00 ,6049,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
31,6/21/1992,1992,"$172,443 ","($4,506)",$0 ,,$0.00 ,$0.00 ,5690,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
32,6/28/1992,1992,"$186,114 ","$13,671 ",$0 ,,$0.00 ,$0.00 ,6042,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
33,7/5/1992,1992,"$133,026 ","($53,088)",$0 ,,$0.00 ,$0.00 ,4544,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
34,7/12/1992,1992,"$146,067 ","$13,041 ",$0 ,,$0.00 ,$0.00 ,4685,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
35,7/19/1992,1992,"$120,649 ","($25,418)",$0 ,,$0.00 ,$0.00 ,3872,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
36,7/26/1992,1992,"$153,480 ","$32,831 ",$0 ,,$0.00 ,$0.00 ,5137,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
37,8/2/1992,1992,"$146,583 ","($6,897)",$0 ,,$0.00 ,$0.00 ,4956,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
38,8/9/1992,1992,"$150,664 ","$4,081 ",$0 ,,$0.00 ,$0.00 ,5060,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
39,8/16/1992,1992,"$163,272 ","$12,608 ",$0 ,,$0.00 ,$0.00 ,5510,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
40,8/23/1992,1992,"$137,469 ","($25,803)",$0 ,,$0.00 ,$0.00 ,4698,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
41,8/30/1992,1992,"$121,063 ","($16,406)",$0 ,,$0.00 ,$0.00 ,4079,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
42,9/6/1992,1992,"$144,657 ","$23,594 ",$0 ,,$0.00 ,$0.00 ,5049,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
43,9/13/1992,1992,"$118,531 ","($26,126)",$0 ,,$0.00 ,$0.00 ,4026,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
44,9/20/1992,1992,"$112,987 ","($5,544)",$0 ,,$0.00 ,$0.00 ,3804,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
45,9/27/1992,1992,"$100,042 ","($12,945)",$0 ,,$0.00 ,$0.00 ,3316,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
46,10/4/1992,1992,"$110,895 ","$10,853 ",$0 ,,$0.00 ,$0.00 ,4301,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
47,10/11/1992,1992,"$166,300 ","$55,405 ",$0 ,,$0.00 ,$0.00 ,5801,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
48,10/18/1992,1992,"$159,593 ","($6,707)",$0 ,,$0.00 ,$0.00 ,5283,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
49,10/25/1992,1992,"$203,276 ","$43,683 ",$0 ,,$0.00 ,$0.00 ,6647,0,8,0.00%,0.00%,Dancing At Lughnasa,1992,,,
7,1/6/1985,1985,"$31,720 ","($2,366)",$0 ,,$0.00 ,$0.00 ,2048,0,8,0.00%,0.00%,Dancing Inthe End Zone,1985,,,
8,1/13/1985,1985,"$17,192 ","($14,528)",$0 ,,$0.00 ,$0.00 ,1174,0,8,0.00%,0.00%,Dancing Inthe End Zone,1985,,,
9,1/20/1985,1985,"$11,463 ","($5,729)",$0 ,,$0.00 ,$0.00 ,930,0,8,0.00%,0.00%,Dancing Inthe End Zone,1985,,,
10,1/27/1985,1985,"$9,329 ","($2,134)",$0 ,,$0.00 ,$0.00 ,658,0,8,0.00%,0.00%,Dancing Inthe End Zone,1985,,,
7,10/15/1989,1989,"$74,050 ","$74,050 ",$0 ,,$0.00 ,$0.00 ,5066,0,8,0.00%,0.00%,Dangerous Games,1989,,,
8,10/22/1989,1989,"$68,500 ","($5,550)",$0 ,,$0.00 ,$0.00 ,4500,0,8,0.00%,0.00%,Dangerous Games,1989,,,
7,11/5/1995,1995,"$34,350 ","$34,350 ",$0 ,,$0.00 ,$40.00 ,3700,10768,8,34.40%,0.00%,Danny Gans On Broadway,1995,,,
8,11/12/1995,1995,"$50,012 ","$15,662 ",$0 ,,$0.00 ,$40.00 ,4571,12114,9,37.70%,37.70%,Danny Gans On Broadway,1995,,,
7,1/6/2013,2013,"$254,255 ","($73,548)","$982,243 ",25.89%,$70.96 ,$248.00 ,3583,7976,8,44.90%,-3.10%,Dead Accounts,2013,,,
7,1/7/2018,2018,"$1,744,820 ","($374,551)","$1,425,136 ",122.43%,$218.38 ,$448.00 ,7990,7872,8,101.50%,0.00%,Dear Evan Hansen,2018,,,
8,1/14/2018,2018,"$1,741,090 ","($3,730)","$1,425,136 ",122.17%,$217.83 ,$448.00 ,7993,7872,8,101.50%,0.00%,Dear Evan Hansen,2018,,,
9,1/21/2018,2018,"$1,707,785 ","($33,305)","$1,425,136 ",119.83%,$213.87 ,$448.00 ,7985,7872,8,101.40%,-0.10%,Dear Evan Hansen,2018,,,
10,1/28/2018,2018,"$1,697,500 ","($10,285)","$1,425,136 ",119.11%,$212.67 ,$448.00 ,7982,7872,8,101.40%,0.00%,Dear Evan Hansen,2018,,,
11,2/4/2018,2018,"$1,663,825 ","($33,675)","$1,425,136 ",116.75%,$209.10 ,$448.00 ,7957,7872,8,101.10%,-0.30%,Dear Evan Hansen,2018,,,
12,2/11/2018,2018,"$1,655,163 ","($8,662)","$1,425,136 ",116.14%,$209.91 ,$448.00 ,7885,7872,8,100.20%,-0.90%,Dear Evan Hansen,2018,,,
13,2/18/2018,2018,"$1,790,798 ","$135,635 ","$1,425,136 ",125.66%,$224.30 ,$497.00 ,7984,7872,8,101.40%,1.20%,Dear Evan Hansen,2018,,,
14,2/25/2018,2018,"$1,736,761 ","($54,037)","$1,425,136 ",121.87%,$217.31 ,$448.00 ,7992,7872,8,101.50%,0.10%,Dear Evan Hansen,2018,,,
15,3/4/2018,2018,"$1,620,676 ","($116,085)","$1,425,136 ",113.72%,$203.37 ,$448.00 ,7969,7872,8,101.20%,-0.30%,Dear Evan Hansen,2018,,,
16,3/11/2018,2018,"$1,654,008 ","$33,332 ","$1,425,136 ",116.06%,$208.73 ,$448.00 ,7924,7872,8,100.70%,-0.50%,Dear Evan Hansen,2018,,,
17,3/18/2018,2018,"$1,715,205 ","$61,197 ","$1,425,136 ",120.35%,$214.51 ,$448.00 ,7996,7872,8,101.60%,0.90%,Dear Evan Hansen,2018,,,
18,3/25/2018,2018,"$1,670,889 ","($44,316)","$1,425,136 ",117.24%,$209.94 ,$448.00 ,7959,7872,8,101.10%,-0.50%,Dear Evan Hansen,2018,,,
19,4/1/2018,2018,"$1,744,352 ","$73,463 ","$1,425,136 ",122.40%,$218.29 ,$448.00 ,7991,7872,8,101.50%,0.40%,Dear Evan Hansen,2018,,,
20,4/8/2018,2018,"$1,793,513 ","$49,161 ","$1,425,136 ",125.85%,$224.53 ,$448.00 ,7988,7872,8,101.50%,0.00%,Dear Evan Hansen,2018,,,
21,4/15/2018,2018,"$1,753,123 ","($40,390)","$1,425,136 ",123.01%,$219.22 ,$448.00 ,7997,7872,8,101.60%,0.10%,Dear Evan Hansen,2018,,,
22,4/22/2018,2018,"$1,733,174 ","($19,949)","$1,425,136 ",121.61%,$217.00 ,$448.00 ,7987,7872,8,101.50%,-0.10%,Dear Evan Hansen,2018,,,
23,4/29/2018,2018,"$1,694,047 ","($39,127)","$1,425,136 ",118.87%,$212.05 ,$448.00 ,7989,7872,8,101.50%,0.00%,Dear Evan Hansen,2018,,,
24,5/6/2018,2018,"$1,656,795 ","($37,252)","$1,425,136 ",116.26%,$207.83 ,$448.00 ,7972,7872,8,101.30%,-0.20%,Dear Evan Hansen,2018,,,
25,5/13/2018,2018,"$1,682,484 ","$25,689 ","$1,425,136 ",118.06%,$210.71 ,$448.00 ,7985,7872,8,101.40%,0.10%,Dear Evan Hansen,2018,,,
26,5/20/2018,2018,"$1,716,700 ","$34,216 ","$1,425,136 ",120.46%,$214.78 ,$448.00 ,7993,7872,8,101.50%,0.10%,Dear Evan Hansen,2018,,,
27,5/27/2018,2018,"$1,705,522 ","($11,178)","$1,425,136 ",119.67%,$213.40 ,$448.00 ,7992,7872,8,101.50%,0.00%,Dear Evan Hansen,2018,,,
28,6/3/2018,2018,"$1,670,971 ","($34,551)","$1,425,136 ",117.25%,$209.11 ,$448.00 ,7991,7872,8,101.50%,0.00%,Dear Evan Hansen,2018,,,
29,6/10/2018,2018,"$1,711,773 ","$40,802 ","$1,425,136 ",120.11%,$214.08 ,$448.00 ,7996,7872,8,101.60%,0.10%,Dear Evan Hansen,2018,,,
30,6/17/2018,2018,"$1,726,485 ","$14,712 ","$1,425,136 ",121.15%,$215.92 ,$448.00 ,7996,7872,8,101.60%,0.00%,Dear Evan Hansen,2018,,,
31,6/24/2018,2018,"$1,714,309 ","($12,176)","$1,425,136 ",120.29%,$214.45 ,$448.00 ,7994,7872,8,101.50%,-0.10%,Dear Evan Hansen,2018,,,
32,7/1/2018,2018,"$1,686,324 ","($27,985)","$1,425,136 ",118.33%,$211.11 ,$448.00 ,7988,7872,8,101.50%,0.00%,Dear Evan Hansen,2018,,,
33,7/8/2018,2018,"$1,625,796 ","($60,528)","$1,429,344 ",113.74%,$203.35 ,$448.00 ,7995,7872,8,101.60%,0.10%,Dear Evan Hansen,2018,,,
34,7/15/2018,2018,"$1,652,199 ","$26,403 ","$1,425,136 ",115.93%,$206.60 ,$448.00 ,7997,7872,8,101.60%,0.00%,Dear Evan Hansen,2018,,,
35,7/22/2018,2018,"$1,653,882 ","$1,684 ","$1,425,136 ",116.05%,$206.86 ,$448.00 ,7995,7872,8,101.60%,0.00%,Dear Evan Hansen,2018,,,
36,7/29/2018,2018,"$1,670,003 ","$16,120 ","$1,425,136 ",117.18%,$208.96 ,$448.00 ,7992,7872,8,101.50%,-0.10%,Dear Evan Hansen,2018,,,
37,8/5/2018,2018,"$1,640,842 ","($29,161)","$1,425,136 ",115.14%,$205.28 ,$448.00 ,7993,7872,8,101.50%,0.00%,Dear Evan Hansen,2018,,,
38,8/12/2018,2018,"$1,646,173 ","$5,331 ","$1,425,136 ",115.51%,$205.87 ,$448.00 ,7996,7872,8,101.60%,0.10%,Dear Evan Hansen,2018,,,
39,8/19/2018,2018,"$1,600,432 ","($45,741)","$1,425,136 ",112.30%,$200.18 ,$448.00 ,7995,7872,8,101.60%,0.00%,Dear Evan Hansen,2018,,,
40,8/26/2018,2018,"$1,583,121 ","($17,312)","$1,425,136 ",111.09%,$198.19 ,$448.00 ,7988,7872,8,101.50%,-0.10%,Dear Evan Hansen,2018,,,
7,2/23/1992,1992,"$289,899 ","$289,899 ",$0 ,,$0.00 ,$0.00 ,8388,0,8,0.00%,0.00%,Death And The Maiden,1992,,,
8,3/1/1992,1992,"$262,096 ","($27,803)",$0 ,,$0.00 ,$0.00 ,7681,0,8,0.00%,0.00%,Death And The Maiden,1992,,,
9,3/8/1992,1992,"$300,370 ","$38,274 ",$0 ,,$0.00 ,$0.00 ,8394,0,8,0.00%,0.00%,Death And The Maiden,1992,,,
10,3/15/1992,1992,"$301,093 ",$723 ,$0 ,,$0.00 ,$0.00 ,8558,0,8,0.00%,0.00%,Death And The Maiden,1992,,,
11,3/22/1992,1992,"$327,253 ","$26,160 ",$0 ,,$0.00 ,$0.00 ,8449,0,8,0.00%,0.00%,Death And The Maiden,1992,,,
12,3/29/1992,1992,"$351,613 ","$24,360 ",$0 ,,$0.00 ,$0.00 ,8799,0,8,0.00%,0.00%,Death And The Maiden,1992,,,
13,4/5/1992,1992,"$350,766 ",($847),$0 ,,$0.00 ,$0.00 ,8627,0,8,0.00%,0.00%,Death And The Maiden,1992,,,
14,4/12/1992,1992,"$337,425 ","($13,341)",$0 ,,$0.00 ,$0.00 ,8169,0,8,0.00%,0.00%,Death And The Maiden,1992,,,
15,4/19/1992,1992,"$344,967 ","$7,542 ",$0 ,,$0.00 ,$0.00 ,8397,0,8,0.00%,0.00%,Death And The Maiden,1992,,,
16,4/26/1992,1992,"$347,292 ","$2,325 ",$0 ,,$0.00 ,$0.00 ,8354,0,8,0.00%,0.00%,Death And The Maiden,1992,,,
17,5/3/1992,1992,"$325,264 ","($22,028)",$0 ,,$0.00 ,$0.00 ,7940,0,8,0.00%,0.00%,Death And The Maiden,1992,,,
18,5/10/1992,1992,"$309,001 ","($16,263)",$0 ,,$0.00 ,$0.00 ,7926,0,8,0.00%,0.00%,Death And The Maiden,1992,,,
19,5/17/1992,1992,"$324,036 ","$15,035 ",$0 ,,$0.00 ,$0.00 ,8170,0,8,0.00%,0.00%,Death And The Maiden,1992,,,
20,5/24/1992,1992,"$306,588 ","($17,448)",$0 ,,$0.00 ,$0.00 ,7855,0,8,0.00%,0.00%,Death And The Maiden,1992,,,
21,5/31/1992,1992,"$289,365 ","($17,223)",$0 ,,$0.00 ,$0.00 ,7570,0,8,0.00%,0.00%,Death And The Maiden,1992,,,
22,6/7/1992,1992,"$218,821 ","($70,544)",$0 ,,$0.00 ,$0.00 ,5980,0,8,0.00%,0.00%,Death And The Maiden,1992,,,
23,6/14/1992,1992,"$292,544 ","$73,723 ",$0 ,,$0.00 ,$0.00 ,7808,0,8,0.00%,0.00%,Death And The Maiden,1992,,,
24,6/21/1992,1992,"$303,514 ","$10,970 ",$0 ,,$0.00 ,$0.00 ,7946,0,8,0.00%,0.00%,Death And The Maiden,1992,,,
25,6/28/1992,1992,"$308,941 ","$5,427 ",$0 ,,$0.00 ,$0.00 ,8096,0,8,0.00%,0.00%,Death And The Maiden,1992,,,
26,7/5/1992,1992,"$235,258 ","($73,683)",$0 ,,$0.00 ,$0.00 ,6558,0,8,0.00%,0.00%,Death And The Maiden,1992,,,
27,7/12/1992,1992,"$279,283 ","$44,025 ",$0 ,,$0.00 ,$0.00 ,7612,0,8,0.00%,0.00%,Death And The Maiden,1992,,,
28,7/19/1992,1992,"$261,845 ","($17,438)",$0 ,,$0.00 ,$0.00 ,7088,0,8,0.00%,0.00%,Death And The Maiden,1992,,,
29,7/26/1992,1992,"$273,053 ","$11,208 ",$0 ,,$0.00 ,$0.00 ,7609,0,8,0.00%,0.00%,Death And The Maiden,1992,,,
30,8/2/1992,1992,"$292,106 ","$19,053 ",$0 ,,$0.00 ,$0.00 ,8229,0,8,0.00%,0.00%,Death And The Maiden,1992,,,
7,2/19/2012,2012,"$613,569 ","$613,569 ","$731,760 ",83.85%,$107.47 ,$225.00 ,5709,6348,6,89.90%,0.00%,Death Of A Salesman,2012,,,
8,2/26/2012,2012,"$692,172 ","$78,603 ","$849,520 ",81.48%,$98.50 ,$225.00 ,7027,7252,7,96.90%,96.90%,Death Of A Salesman,2012,,,
9,3/4/2012,2012,"$661,262 ","($30,910)","$849,520 ",77.84%,$95.02 ,$225.00 ,6959,7252,7,96.00%,-0.90%,Death Of A Salesman,2012,,,
10,3/11/2012,2012,"$620,444 ","($40,818)","$849,520 ",73.03%,$85.73 ,$225.00 ,7237,7252,7,99.80%,3.80%,Death Of A Salesman,2012,,,
11,3/18/2012,2012,"$632,832 ","$12,388 ","$849,520 ",74.49%,$87.34 ,$225.00 ,7246,7252,7,99.90%,0.10%,Death Of A Salesman,2012,,,
12,3/25/2012,2012,"$777,953 ","$145,121 ","$866,360 ",89.80%,$107.51 ,$350.00 ,7236,7252,7,99.80%,-0.10%,Death Of A Salesman,2012,,,
13,4/1/2012,2012,"$457,568 ","($320,385)","$478,540 ",95.62%,$110.58 ,$325.00 ,4138,4144,4,99.90%,0.10%,Death Of A Salesman,2012,,,
14,4/8/2012,2012,"$859,448 ","$401,880 ","$876,460 ",98.06%,$118.91 ,$325.00 ,7228,7252,7,99.70%,-0.20%,Death Of A Salesman,2012,,,
15,4/15/2012,2012,"$856,960 ","($2,488)","$876,460 ",97.78%,$118.58 ,$425.00 ,7227,7252,7,99.70%,0.00%,Death Of A Salesman,2012,,,
16,4/22/2012,2012,"$892,533 ","$35,573 ","$943,940 ",94.55%,$123.72 ,$425.00 ,7214,7252,7,99.50%,-0.20%,Death Of A Salesman,2012,,,
17,4/29/2012,2012,"$900,749 ","$8,216 ","$929,340 ",96.92%,$124.97 ,$425.00 ,7208,7252,7,99.40%,-0.10%,Death Of A Salesman,2012,,,
18,5/6/2012,2012,"$943,884 ","$43,135 ","$943,940 ",99.99%,$130.79 ,$425.00 ,7217,7252,7,99.50%,0.10%,Death Of A Salesman,2012,,,
19,5/13/2012,2012,"$934,861 ","($9,023)","$929,340 ",100.59%,$129.41 ,$425.00 ,7224,7252,7,99.60%,0.10%,Death Of A Salesman,2012,,,
20,5/20/2012,2012,"$943,752 ","$8,891 ","$929,340 ",101.55%,$130.44 ,$475.00 ,7235,7252,7,99.80%,0.20%,Death Of A Salesman,2012,,,
21,5/27/2012,2012,"$1,014,413 ","$70,661 ","$943,940 ",107.47%,$140.68 ,$475.00 ,7211,7252,7,99.40%,-0.40%,Death Of A Salesman,2012,,,
22,6/3/2012,2012,"$1,066,582 ","$52,169 ","$929,340 ",114.77%,$147.44 ,$475.00 ,7234,7252,7,99.80%,0.40%,Death Of A Salesman,2012,,,
7,6/10/1984,1984,"$251,338 ","$251,338 ",$0 ,,$0.00 ,$0.00 ,8388,0,8,0.00%,0.00%,Death Of A Salesman 1984,1984,,,
8,6/17/1984,1984,"$279,900 ","$28,562 ",$0 ,,$0.00 ,$0.00 ,8381,0,8,0.00%,0.00%,Death Of A Salesman 1984,1984,,,
9,6/24/1984,1984,"$284,021 ","$4,121 ",$0 ,,$0.00 ,$0.00 ,8387,0,7,0.00%,0.00%,Death Of A Salesman 1984,1984,,,
10,7/1/1984,1984,"$283,974 ",($47),$0 ,,$0.00 ,$0.00 ,8363,0,7,0.00%,0.00%,Death Of A Salesman 1984,1984,,,
