Show,Avg_Cap,Avg_Gross,
Kinky Boots,0.7361,753892.5,2018
Kiss Me Kate,0.7273,463405.44,2001
Kiss Of The Spider Woman,0.501,186660,1995
La Bete,0.5855,322111,2011
La Boh Me,0.6748,665598.96,2003
La Cage Aux Folles 2004 2005,0.6493,479254.58,2005
La Cage Aux Folles 2010 2011,0.6552,422029.33,2011
Lady Day At Emerson's Bar Grill,0.9442,521682.96,2014
Latin History For Morons,0.8589,563721.13,2018
Latinologues,0.715,139812,2006
Laugh Whore,0.633,264181,2005
Leap Of Faith,0.8377,223973.33,2012
Legally Blonde,0.7332,637297.1,2008
Lend Me A Tenor,0.6854,358672.26,2010
Lennon,0.5038,299723.75,2005
Les Liaisons Dangereuses,0.7145,419194.5,2017
Les Mis Rables,0.838,817120.72,2016
Les Mis Rables Original,0.8677,673068,2003
Lestat,0.7274,463041.9,2006
Let It Be,0.513,362256.71,2013
Life X 3,0.8177,285680,2003
Little Me,0.8957,198846.83,1999
Little Shop Of Horrors,0.6873,374713.85,2004
Little Women,0.6349,396240.62,2005
Living On Love,0.6922,162229.6,2015
Liza's At The Palace,0.913,587196,2009
Lobby Hero,0.953,435920.55,2018
Lombardi,0.6546,277938.33,2011
London Assurance,0.9284,135815.18,1997
Long Day's Journey Into Night,0.9641,396455.15,2016
Looped,0.5694,157815.63,2010
Lord Of The Dance Dangerous Games,0.689,870337,2016
Losing Louie,0.6185,154801.1,2006
Love Letters,0.5597,294599.21,2014
Love Life,0.8382,56096,2005
Love Thy Neighbor,0.835,124771,1997
Lovemusik,0.7896,226793,2007
Lovevalourcompassion ,0.555,120573,1995
Lucky Guy,1.0104,1210112.89,2013
Lysistrata Jones,0.66,290638,2012
Ma Rainey's Black Bottom,0.5194,220655.82,2003
Macbeth,0.74,405963.5,2014
Macbeth 2000,0.5387,163102.67,2000
Macbeth 2008,0.8836,456174.67,2008
Machinal,0.7056,215687.11,2014
Magic Bird,0.5229,142012.75,2012
Major Barbara,0.8184,229818.29,2001
Mamma Mia ,0.8677,725514.27,2015
Man And Boy,0.7961,257967.25,2011
Man Of La Mancha,0.7363,525628.74,2003
Mandy Patinkin,0.8463,140906.75,1997
Mandy Patinkin In Concert Mamaloshen,0.614,181616.25,1998
Manilow On Broadway,0.8127,693452.67,2013
Marc Salem's Mind Games,0.3615,11995.71,2004
Marie Christine,0.8085,310527,2000
Mark Twain Tonight,0.639,205822.67,2005
Marlene,0.4946,136262.6,1999
Martin Short Fame Becomes Me,0.903,621946,2007
Marvin's Room,0.7119,197167.08,2017
Mary Poppins,0.7726,819390.44,2013
Mary Stuart,0.5622,304405.3,2009
Master Class,0.8864,270398.08,2011
Master Class 1995,0.7094,110717.36,1997
Master Harold And The Boys,0.6478,227629.5,2003
Match,0.5769,212105.09,2004
Matilda,1.006,1902189,2017
Matters Of The Heart,0.8345,62823,2000
Mauritius,0.7435,208540.73,2007
Mbutterfly,0.7296,477104.27,2017
Mean Girls,1.0085,1499733.17,2018
Medea,0.7024,240914.5,2003
Memphis,0.7478,617374.94,2012
Men Are From Mars Women Are From Venus,0.844,358316,1997
Metamorphoses,0.7843,197709.43,2003
Meteor Shower,0.9877,852165.67,2018
Mike Tyson Undisputed Truth,0.7085,602309,2012
Million Dollar Quartet,0.5525,385631.58,2011
Minnelli On Minnelli,0.702,630503,2000
Misery,0.7376,684488,2016
Miss Saigon,0.852,1100503,2018
